,SPECIESCODE,MRRI_CODE,SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,GENUS,SPECIES,SciName
20,8826020103,A397,PRIONOTUS SCITULUS,LEOPARD SEAROBIN,P.,scitulus,P. scitulus
21,8835250101,A206,POMATOMUS SALTATRIX,BLUEFISH,P.,saltatrix,P. saltatrix
22,8835440401,A284,LEIOSTOMUS XANTHURUS,SPOT,L.,xanthurus,L. xanthurus
23,8835440601,A285,MENTICIRRHUS AMERICANUS,SOUTHERN KINGFISH,M.,americanus,M. americanus
24,8850030502,A362,SCOMBEROMORUS MACULATUS,SPANISH MACKEREL,S.,maculatus,S. maculatus
25,8857030109,A405,CITHARICHTHYS MACROPS,SPOTTED WHIFF,C.,macrops,C. macrops
26,8857030201,A408,ETROPUS CROSSOTUS,FRINGED FLOUNDER,E.,crossotus,E. crossotus
27,8858020101,A422,SYMPHURUS PLAGIUSA,BLACKCHEEK TONGUEFISH,S.,plagiusa,S. plagiusa
28,8858030101,A420,TRINECTES MACULATUS,HOGCHOKER,T.,maculatus,T. maculatus
29,6177040101,D010,SICYONIA BREVIROSTRIS,ROCK SHRIMP,S.,brevirostris,S. brevirostris
30,6187010902,D203,LIBINIA EMARGINATA,PORTLY SPIDER CRAB,L.,emarginata,L. emarginata
31,8713040113,A043,RAJA EGLANTERIA,CLEARNOSE SKATE,R.,eglanteria,R. eglanteria
32,8747020201,A090,ANCHOA HEPSETUS,STRIPED ANCHOVY,A.,hepsetus,A. hepsetus
33,8791031002,A123,UROPHYCIS REGIA,SPOTTED HAKE,U.,regia,U. regia
34,8835440103,A277,CYNOSCION NOTHUS,SILVER SEATROUT,C.,nothus,C. nothus
35,8835441001,A291,STELLIFER LANCEOLATUS,STAR DRUM,S.,lanceolatus,S. lanceolatus
36,8842010201,A334,HYPSOBLENNIUS HENTZ,FEATHER BLENNY,H.,hentz,H. hentz
37,8851030103,A376,PEPRILUS TRIACANTHUS,BUTTERFISH,P.,triacanthus,P. triacanthus
38,8857030304,A414,PARALICHTHYS LETHOSTIGMA,SOUTHERN FLOUNDER,P.,lethostigma,P. lethostigma
39,8857030401,A417,SCOPHTHALMUS AQUOSUS,WINDOWPANE,S.,aquosus,S. aquosus
40,8857030506,A401,ANCYLOPSETTA QUADROCELLATA,OCELLATED FLOUNDER,A.,quadrocellata,A. quadrocellata
41,6177010101,D003,FARFANTEPENAEUS AZTECUS,NORTHERN BROWN SHRIMP,F.,aztecus,F. aztecus
42,6177010103,D005,LITOPENAEUS SETIFERUS,WHITE SHRIMP,L.,setiferus,L. setiferus
43,6183060232,D089,PAGURUS POLLICARIS,GRAY HERMIT CRAB,P.,pollicaris,P. pollicaris
44,8747010401,A084,BREVOORTIA TYRANNUS,ATLANTIC MENHADEN,B.,tyrannus,B. tyrannus
45,8835440104,A278,CYNOSCION REGALIS,WEAKFISH,C.,regalis,C. regalis
46,8835440602,A286,MENTICIRRHUS LITTORALIS,GULF KINGFISH,M.,littoralis,M. littoralis
47,6189021301,D142,MENIPPE MERCENARIA,FLORIDA STONE CRAB,M.,mercenaria,M. mercenaria
48,8835440501,A283,LARIMUS FASCIATUS,BANDED DRUM,L.,fasciatus,L. fasciatus
49,8857030301,A413,PARALICHTHYS DENTATUS,SUMMER FLOUNDER,P.,dentatus,P. dentatus
50,8861010201,A444,SPHOEROIDES MACULATUS,NORTHERN PUFFER,S.,maculatus,S. maculatus
51,6191010103,E108,GIBBESIA NEGLECTA,LESSER MANTIS SHRIMP,G.,neglecta,G. neglecta
52,8826020118,A396,PRIONOTUS RUBIO,BLACKWING SEAROBIN,P.,rubio,P. rubio
53,8861030101,A448,CHILOMYCTERUS SCHOEPFII,STRIPED BURRFISH,C.,schoepfii,C. schoepfii
55,6186020101,D112,CALAPPA FLAMMEA,FLAME BOX CRAB,C.,flammea,C. flammea
56,8747020205,A091,ANCHOA LYOLEPIS,DUSKY ANCHOVY,A.,lyolepis,A. lyolepis
57,8783010108,A111,PORICHTHYS PLECTRODON,ATLANTIC MIDSHIPMAN,P.,plectrodon,P. plectrodon
58,8805020201,A154,MEMBRAS MARTINICA,ROUGH SLIVERSIDE,M.,martinica,M. martinica
59,8832010101,A399,DACTYLOPTERUS VOLITANS,FLYING GURNARD,D.,volitans,D. volitans
60,8713050104,A049,DASYATIS CENTROURA,ROUGHTAIL STINGRAY,D.,centroura,D. centroura
61,8762020101,A097,SYNODUS FOETENS,INSHORE LIZARDFISH,S.,foetens,S. foetens
62,8835021002,A178,DIPLECTRUM FORMOSUM,SAND PERCH,D.,formosum,D. formosum
63,6177040104,D012,SICYONIA LAEVIGATA,NOTCHED TIDAL ROCK SHRIMP,S.,laevigata,S. laevigata
65,8708020401,A025,MUSTELUS CANIS,SMOOTH DOGFISH,M.,canis,M. canis
66,8792010602,A546,OPHIDION GRAYI,BLOTCHED CUSK-EEL,O.,grayi,O. grayi
67,8826010606,A385,SCORPAENA CALCARATA,SMOOTHHEAD SCORPIONFISH,S.,calcarata,S. calcarata
68,8826020104,A398,PRIONOTUS TRIBULUS,BIGHEAD SEAROBIN,P.,tribulus,P. tribulus
69,5708010202,N328,OCTOPUS VULGARIS,COMMON OCTOPUS,O.,vulgaris,O. vulgaris
70,6185020301,D101,CRYPTODROMIOPSIS ANTILLENSIS,HAIRY SPONGE CRAB,C.,antillensis,C. antillensis
71,6189021403,D139,PILUMNUS SAYI,SPINEBACK HAIRY CRAB,P.,sayi,P. sayi
72,8747011001,A089,SARDINELLA AURITA,SPANISH SARDINE,S.,aurita,S. aurita
73,8762020401,A099,TRACHINOCEPHALUS MYOPS,SNAKEFISH,T.,myops,T. myops
74,8858020110,A423,SYMPHURUS UROSPILUS,SPOTTAIL TONGUEFISH,S.,urospilus,S. urospilus
75,8860020101,A426,ALUTERUS SCHOEPFII,ORANGE FILEFISH,A.,schoepfii,A. schoepfii
76,6183060239,D087,PAGURUS IMPRESSUS,PALMATE HERMIT CRAB,P.,impressus,P. impressus
77,6183160501,D081,PETROCHIRUS DIOGENES,GIANT HERMIT,P.,diogenes,P. diogenes
78,8792010701,A125,OTOPHIDIUM OMOSTIGMA,POLKA-DOT CUSK-EEL,O.,omostigma,O. omostigma
79,8857030604,A549,BOTHUS ROBINSI,TWOSPOT FLOUNDER,B.,robinsi,B. robinsi
80,8857031303,A418,SYACIUM PAPILLOSUM,DUSKY FLOUNDER,S.,papillosum,S. papillosum
81,8860020703,A434,STEPHANOLEPIS HISPIDA,PLANEHEAD FILEFISH,S.,hispida,S. hispida
82,6185020103,D311,HYPOCONCHA SPINOSISSIMA,SPINY SHELLBACK CRAB,H.,spinosissima,H. spinosissima
83,6186030104,D108,PERSEPHONA MEDITERRANEA,MOTTLED PURSE CRAB,P.,mediterranea,P. mediterranea
84,6187012101,D215,MACROCOELOMA TRISPINOSUM,SPONGY DECORATOR CRAB,M.,trispinosum,M. trispinosum
85,6187012506,D208,MITHRAX SPINOSISSIMUS,CHANNEL CLINGING CRAB,M.,spinosissimus,M. spinosissimus
86,8713070101,A056,AETOBATUS NARINARI,SPOTTED EAGLE RAY,A.,narinari,A. narinari
87,8741120101,A071,CONGER OCEANICUS,CONGER EEL,C.,oceanicus,C. oceanicus
88,8791031006,A121,UROPHYCIS EARLLII,CAROLINA HAKE,U.,earllii,U. earllii
89,8820020201,A164,HIPPOCAMPUS ERECTUS,LINED SEAHORSE,H.,erectus,H. erectus
90,8835020301,A177,CENTROPRISTIS STRIATA,BLACK SEA BASS,C.,striata,C. striata
91,8835020304,A175,CENTROPRISTIS OCYURUS,BANK SEA BASS,C.,ocyurus,C. ocyurus
92,8835281202,A223,DECAPTERUS PUNCTATUS,ROUND SCAD,D.,punctatus,D. punctatus
93,8840020000,A577,OPISTOGNATHIDAE,SMILERS,O.,opistognathidae,O. opistognathidae
94,8847010602,A459,GOBIOSOMA GINSBURGI,SEABOARD GOBY,G.,ginsburgi,G. ginsburgi
95,8857030110,A406,CITHARICHTHYS SPILOPTERUS,BAY WHIFF,C.,spilopterus,C. spilopterus
96,8857030302,A412,PARALICHTHYS ALBIGUTTA,GULF FLOUNDER,P.,albigutta,P. albigutta
97,8860020201,A428,BALISTES CAPRISCUS,GRAY TRIGGERFISH,B.,capriscus,B. capriscus
98,8860030201,A439,ACANTHOSTRACION QUADRICORNIS,SCRAWLED COWFISH,A.,quadricornis,A. quadricornis
99,6187011401,D235,ROCHINIA CRASSA,INFLATED SPINY CRAB,R.,crassa,R. crassa
100,8792010613,A126,OPHIDION MARGINATUM,STRIPED CUSK-EEL,O.,marginatum,O. marginatum
102,8791031007,A122,UROPHYCIS FLORIDANA,SOUTHERN HAKE,U.,floridana,U. floridana
103,8835430201,A271,LAGODON RHOMBOIDES,PINFISH,L.,rhomboides,L. rhomboides
104,8835440301,A275,BAIRDIELLA CHRYSOURA,SILVER PERCH,B.,chrysoura,B. chrysoura
105,8840140102,A328,ASTROSCOPUS Y-GRAECUM,SOUTHERN STARGAZER,A.,y-graecum,A. y-graecum
106,8850020201,A353,TRICHIURUS LEPTURUS,ATLANTIC CUTLASSFISH,T.,lepturus,T. lepturus
107,8851030102,B423,PEPRILUS PARU,NORTHERN HARVESTFISH,P.,paru,P. paru
108,6182020102,D056,SCYLLARUS CHACEI,CHACE SLIPPER LOBSTER,S.,chacei,S. chacei
109,6187011701,D195,STENORHYNCHUS SETICORNIS,YELLOWLINE ARROW CRAB,S.,seticornis,S. seticornis
110,9002040101,B801,CARETTA CARETTA,LOGGERHEAD,C.,caretta,C. caretta
111,8713050202,,GYMNURA MICRURA,SMOOTH BUTTERFLY RAY,G.,micrura,G. micrura
112,6189010101,D131,ARENAEUS CRIBRARIUS,SPECKLED SWIMMING CRAB,A.,cribrarius,A. cribrarius
113,8826020101,A392,PRIONOTUS CAROLINUS,NORTHERN SEAROBIN,P.,carolinus,P. carolinus
114,8835400201,A262,ORTHOPRISTIS CHRYSOPTERA,PIGFISH,O.,chrysoptera,O. chrysoptera
115,8835440701,A288,MICROPOGONIAS UNDULATUS,ATLANTIC CROAKER,M.,undulatus,M. undulatus
116,8835440603,A287,MENTICIRRHUS SAXATILIS,NORTHERN KINGFISH,M.,saxatilis,M. saxatilis
117,8787020101,A116,HISTRIO HISTRIO,SARGASSUMFISH,H.,histrio,H. histrio
118,8708020502,A017,CARCHARHINUS LEUCAS,BULL SHARK,C.,leucas,C. leucas
119,8711010102,A037,SQUATINA DUMERIL,SAND DEVIL,S.,dumeril,S. dumeril
120,8835520000,A297,EPHIPPIDIDAE,SPADEFISHES,E.,ephippididae,E. ephippididae
121,8835520101,A297,CHAETODIPTERUS FABER,ATLANTIC SPADEFISH,C.,faber,C. faber
122,6179220103,D449,CRANGON SEPTEMSPINOSA,SEVENSPINE BAY SHRIMP,C.,septemspinosa,C. septemspinosa
123,8820020104,A169,SYNGNATHUS LOUISIANAE,CHAIN PIPEFISH,S.,louisianae,S. louisianae
124,8826020102,A393,PRIONOTUS EVOLANS,STRIPED SEAROBIN,P.,evolans,P. evolans
125,8840140101,A327,ASTROSCOPUS GUTTATUS,NORTHERN STARGAZER,A.,guttatus,A. guttatus
126,8835430301,A263,ARCHOSARGUS PROBATOCEPHALUS,SHEEPSHEAD,A.,probatocephalus,A. probatocephalus
127,8741131003,A077,OPHICHTHUS OCELLATUS,PALESPOTTED EEL,O.,ocellatus,O. ocellatus
128,8713070201,A057,MYLIOBATIS FREMINVILLEI,BULLNOSE RAY,M.,freminvillei,M. freminvillei
129,8835390100,A966,EUCINOSTOMUS,MOJARRITAS,E.,eucinostomus,E. eucinostomus
130,8835450402,B002,UPENEUS PARVUS,DWARF GOATFISH,U.,parvus,U. parvus
131,8847010601,A347,GOBIOSOMA BOSC,NAKED GOBY,G.,bosc,G. bosc
132,6183120501,D071,PORCELLANA SIGSBEIANA,STRIPED PORCELAIN CRAB,P.,sigsbeiana,P. sigsbeiana
133,8835280804,A233,SERIOLA ZONATA,BANDED RUDDERFISH,S.,zonata,S. zonata
134,8835022309,A195,SERRANUS SUBLIGARIUS,BELTED SANDFISH,S.,subligarius,S. subligarius
135,8708020301,A028,RHIZOPRIONODON TERRAENOVAE,ATLANTIC SHARPNOSE SHARK,R.,terraenovae,R. terraenovae
136,8713050106,A051,DASYATIS SAY,BLUNTNOSE STINGRAY,D.,say,D. say
137,8777180100,A108,ARIOPSIS FELIS,HARDHEAD CATFISH,A.,felis,A. felis
138,8708030101,A031,SPHYRNA TIBURO,BONNETHEAD,S.,tiburo,S. tiburo
139,8777020602,A108,AMEIURUS CATUS,WHITE CATFISH,A.,catus,A. catus
140,8835280401,A220,CHLOROSCOMBRUS CHRYSURUS,ATLANTIC BUMPER,C.,chrysurus,C. chrysurus
141,8835430505,A267,CALAMUS LEUCOSTEUS,WHITEBONE PORGY,C.,leucosteus,C. leucosteus
142,8837010103,A324,SPHYRAENA GUACHANCHO,GUAGUANCHE,S.,guachancho,S. guachancho
143,6189010304,D129,CALLINECTES ORNATUS,SHELLIGS,C.,ornatus,C. ornatus
144,8777180101,A109,BAGRE MARINUS,GAFFTOPSAIL CATFISH,B.,marinus,B. marinus
145,8713020101,A039,RHINOBATOS LENTIGINOSUS,ATLANTIC GUITARFISH,R.,lentiginosus,R. lentiginosus
146,8835280306,A216,CARANX CRYSOS,BLUE RUNNER,C.,crysos,C. crysos
147,8850030501,A361,SCOMBEROMORUS CAVALLA,KING MACKEREL,S.,cavalla,S. cavalla
148,6191030102,E110,LYSIOSQUILLA SCABRICAUDA,DARK-BANDED MANTIS SHRIMP,L.,scabricauda,L. scabricauda
149,6189020801,D156,PANOPEUS HERBSTII,ATLANTIC MUD CRAB,P.,herbstii,P. herbstii
150,8747010601,A087,ETRUMEUS TERES,ROUND HERRING,E.,teres,E. teres
151,8857030306,A416,PARALICHTHYS SQUAMILENTUS,BRAOD FLOUNDER,P.,squamilentus,P. squamilentus
152,6183060230,D088,PAGURUS LONGICARPUS,LONGWRIST HERMIT,P.,longicarpus,P. longicarpus
153,8835400101,A258,HAEMULON AUROLINEATUM,TOMTATE,H.,aurolineatum,H. aurolineatum
154,6186020105,D111,CALAPPA TORTUGAE,NODOSE BOXCRAB,C.,tortugae,C. tortugae
155,8835280102,A237,TRACHURUS LATHAMI,ROUGH SCAD,T.,lathami,T. lathami
156,8858030301,A419,GYMNACHIRUS MELAS,NAKED SOLE,G.,melas,G. melas
157,8850030202,A358,SARDA SARDA,ATLANTIC BONITO,S.,sarda,S. sarda
158,8835430401,A270,DIPLODUS HOLBROOKII,SPOTTAIL PINFISH,D.,holbrookii,D. holbrookii
159,8835441206,A282,PAREQUES UMBROSUS,CUBBYU,P.,umbrosus,P. umbrosus
160,8835360501,A252,RHOMBOPLITES AURORUBENS,VERMILION SNAPPER,R.,aurorubens,R. aurorubens
161,8713050105,A050,DASYATIS SABINA,ATLANTIC STINGRAY,D.,sabina,D. sabina
162,8783010201,A110,OPSANUS TAU,OYSTER TOADFISH,O.,tau,O. tau
163,8857030205,B278,ETROPUS CYCLOSQUAMUS,SHELF FLOUNDER,E.,cyclosquamus,E. cyclosquamus
164,6183120104,D066,PETROLISTHES GALATHINUS,BANDED PORCELAIN CRAB,P.,galathinus,P. galathinus
165,8842010501,A333,HYPLEUROCHILUS GEMINATUS,CRESTED BLENNY,H.,geminatus,H. geminatus
166,8803020201,A142,STRONGYLURA MARINA,ATLANTIC NEEDLEFISH,S.,marina,S. marina
167,8835441202,A280,EQUETUS LANCEOLATUS,JACKKNIFE-FISH,E.,lanceolatus,E. lanceolatus
168,8835030204,A915,RYPTICUS MACULATUS,WHITESPOTTED SOAPFISH,R.,maculatus,R. maculatus
169,8783010203,A738,OPSANUS PARDUS,LEOPARD TOADFISH,O.,pardus,O. pardus
170,8835260101,A207,RACHYCENTRON CANADUM,COBIA,R.,canadum,R. canadum
171,6187020102,D227,PLATYLAMBRUS GRANULATA,ROUGH ELBOW CRAB,P.,granulata,P. granulata
172,8835280705,A238,SELENE SETAPINNIS,ATLANTIC MOONFISH,S.,setapinnis,S. setapinnis
173,8835170102,A921,HETEROPRIACANTHUS CRUENTATUS,GLASSEYE SNAPPER,H.,cruentatus,H. cruentatus
174,8826020113,A394,PRIONOTUS OPHRYAS,BANDTAIL SEAROBIN,P.,ophryas,P. ophryas
175,8835270201,A208,ECHENEIS NAUCRATES,SHARKSUCKER,E.,naucrates,E. naucrates
176,6187011801,D194,METOPORHAPHIS CALCARATA,FALSE ARROW CRAB,M.,calcarata,M. calcarata
177,8842010202,A335,HYPSOBLENNIUS IONTHAS,FRECKLED BLENNY,H.,ionthas,H. ionthas
178,8850030301,A359,SCOMBER COLIAS,ATLANTIC CHUB MACKEREL,S.,colias,S. colias
179,8708030103,A029,SPHYRNA LEWINI,SCALLOPED HAMMERHEAD,S.,lewini,S. lewini
180,8826010605,A384,SCORPAENA BRASILIENSIS,BARBFISH,S.,brasiliensis,S. brasiliensis
181,6191010401,E106,MEIOSQUILLA QUADRIDENS,UNNAMED MANTIS SHRIMP,M.,quadridens,M. quadridens
182,6183130201,D096,ALBUNEA PARETII,BEACH MOLE CRAB,A.,paretii,A. paretii
183,8826020117,A395,PRIONOTUS ROSEUS,BLUESPOTTED SEAROBIN,P.,roseus,P. roseus
184,8835020501,A189,MYCTEROPERCA MICROLEPIS,GAG,M.,microlepis,M. microlepis
185,8835400102,A260,HAEMULON PLUMIERII,WHITE GRUNT,H.,plumierii,H. plumierii
186,8861010208,A445,SPHOEROIDES NEPHELUS,SOUTHERN PUFFER,S.,nephelus,S. nephelus
187,8835280301,A215,CARANX BARTHOLOMAEI,YELLOW JACK,C.,bartholomaei,C. bartholomaei
188,6179140602,D039,SYNALPHEUS FRITZMUELLERI,SPECKLED SNAPPING SHRIMP,S.,fritzmuelleri,S. fritzmuelleri
189,8835280901,A234,TRACHINOTUS CAROLINUS,FLORIDA POMPANO,T.,carolinus,T. carolinus
190,8835280202,A464,ALECTIS CILIARIS,THREADFIN,A.,ciliaris,A. ciliaris
191,6187011902,D193,PODOCHELA SIDNEYI,SHORTFINGER NECK CRAB,P.,sidneyi,P. sidneyi
192,8835280701,A229,SELENE VOMER,LOOKDOWN,S.,vomer,S. vomer
193,8835280601,A228,SELAR CRUMENOPHTHALMUS,BIGEYE SCAD,S.,crumenophthalmus,S. crumenophthalmus
194,8861010101,A442,LAGOCEPHALUS LAEVIGATUS,SMOOTH PUFFER,L.,laevigatus,L. laevigatus
195,8835360112,B535,LUTJANUS SYNAGRIS,LANE SNAPPER,L.,synagris,L. synagris
196,6189010602,D126,PORTUNUS SAYI,SARGASSUM SWIMMING CRAB,P.,sayi,P. sayi
197,8708020504,A014,CARCHARHINUS ACRONOTUS,BLACKNOSE SHARK,C.,acronotus,C. acronotus
198,8835441101,A292,UMBRINA COROIDES,SAND DRUM,U.,coroides,U. coroides
199,8839010802,A313,XYRICHTYS NOVACULA,PEARLY RAZORFISH,X.,novacula,X. novacula
200,8839010702,A309,HALICHOERES BIVITTATUS,SLIPPERY DICK,H.,bivittatus,H. bivittatus
201,8835360107,A244,LUTJANUS CAMPECHANUS,RED SNAPPER,L.,campechanus,L. campechanus
202,8835020305,A176,CENTROPRISTIS PHILADELPHICA,ROCK SEA BASS,C.,philadelphica,C. philadelphica
203,6179140102,D038,ALPHEUS NORMANNI,GREEN SNAPPING SHRIMP,A.,normanni,A. normanni
204,8707030101,A005,CARCHARIAS TAURUS,SAND TIGER,C.,taurus,C. taurus
205,8713050201,A064,GYMNURA ALTAVELA,SPINY BUTTERFLY RAY,G.,altavela,G. altavela
206,8835280303,A217,CARANX HIPPOS,CREVALLE JACK,C.,hippos,C. hippos
207,8820020109,A171,SYNGNATHUS SPRINGERI,BULL PIPEFISH,S.,springeri,S. springeri
208,6179161101,D050,LYSMATA WURDEMANNI,PEPPERMINT SHRIMP,L.,wurdemanni,L. wurdemanni
209,6187012102,D214,MACROCOELOMA CAMPTOCERUM,FLORIDA DECORATOR CRAB,M.,camptocerum,M. camptocerum
210,6187012503,D207,MITHRAX PLEURACANTHUS,,M.,pleuracanthus,M. pleuracanthus
211,6189021401,D136,PILUMNUS FLORIDANUS,PLUMED HAIRY CRAB,P.,floridanus,P. floridanus
212,8839010703,A310,HALICHOERES CAUDALIS,PAINTED WRASSE,H.,caudalis,H. caudalis
213,6177010701,D008,XIPHOPENAEUS KROYERI,SEABOB,X.,kroyeri,X. kroyeri
214,8835440901,A290,SCIAENOPS OCELLATUS,RED DRUM,S.,ocellatus,S. ocellatus
215,8839010101,A315,TAUTOGA ONITIS,TAUTOG,T.,onitis,T. onitis
216,8835440801,A289,POGONIAS CROMIS,BLACK DRUM,P.,cromis,P. cromis
217,8713120101,A041,NARCINE BRASILIENSIS,LESSER ELECTRIC RAY,N.,brasiliensis,N. brasiliensis
218,8747010803,A497,HARENGULA JAGUANA,SCALED SARDINE,H.,jaguana,H. jaguana
219,8787040105,A118,OGCOCEPHALUS PARVUS,ROUGHBACK BATFISH,O.,parvus,O. parvus
220,8747010404,A083,BREVOORTIA SMITHI,YELLOWFIN MENHADEN,B.,smithi,B. smithi
221,8787040106,A053,OGCOCEPHALUS CUBIFRONS,POLKA-DOT BATFISH,O.,cubifrons,O. cubifrons
222,9002040401,B807,LEPIDOCHELYS KEMPII,KEMP'S RIDLEY SEA TURTLE,L.,kempii,L. kempii
223,8708020503,A020,CARCHARHINUS PLUMBEUS,SANDBAR SHARK,C.,plumbeus,C. plumbeus
224,6183120502,D070,PORCELLANA SAYANA,SPOTTED PORCELAIN CRAB,P.,sayana,P. sayana
225,8820020103,A168,SYNGNATHUS FUSCUS,NORTHERN PIPEFISH,S.,fuscus,S. fuscus
226,8707040401,A691,ALOPIAS VULPINUS,THRESHER SHARK,A.,vulpinus,A. vulpinus
227,8747010102,A079,ALOSA AESTIVALIS,BLUEBACK HERRING,A.,aestivalis,A. aestivalis
228,6179140105,D036,ALPHEUS FORMOSUS,STRIPED SNAPPING SHRIMP,A.,formosus,A. formosus
229,6187011003,D188,COLLODES TRISPINOSUS,UNNAMED CRAB,C.,trispinosus,C. trispinosus
230,8747010502,A453,DOROSOMA PETENENSE,THREADFIN SHAD,D.,petenense,D. petenense
231,8835280501,A227,OLIGOPLITES SAURUS,LEATHERJACKET,O.,saurus,O. saurus
232,8842012501,A330,PARABLENNIUS MARMOREUS,SEAWEED BLENNY,P.,marmoreus,P. marmoreus
233,8708020501,A021,CARCHARHINUS OBSCURUS,DUSKY SHARK,C.,obscurus,C. obscurus
234,6189020601,D146,HEXAPANOPEUS ANGUSTIFRONS,SMOOTH MUD CRAB,H.,angustifrons,H. angustifrons
235,6189020901,D145,RHITHROPANOPEUS HARRISII,HARRIS MUD CRAB,R.,harrisii,R. harrisii
236,8708020507,A018,CARCHARHINUS LIMBATUS,BLACKTIP SHARK,C.,limbatus,C. limbatus
237,6186020102,D114,CALAPPA SULCATA,YELLOW BOX CRAB,C.,sulcata,C. sulcata
238,8787040110,A070,OGCOCEPHALUS ROSTELLUM,PALEFIN BATFISH,O.,rostellum,O. rostellum
239,8741131001,A076,OPHICHTHUS GOMESII,SHRIMP EEL,O.,gomesii,O. gomesii
240,8787020202,A114,ANTENNARIUS OCELLATUS,OCELLATED FROGFISH,A.,ocellatus,A. ocellatus
241,8738010101,A063,ELOPS SAURUS,LADYFISH,E.,saurus,E. saurus
242,8713080202,A644,MOBULA HYPOSTOMA,DEVIL RAY,M.,hypostoma,M. hypostoma
243,8708020531,A013,CARCHARHINUS ISODON,FINETOOTH SHARK,C.,isodon,C. isodon
244,8836010102,A321,MUGIL CUREMA,WHITE MULLET,M.,curema,M. curema
245,8847010503,A344,GOBIONELLUS OCEANICUS,HIGHFIN GOBY,G.,oceanicus,G. oceanicus
246,8741130802,A074,MYROPHIS PUNCTATUS,SPECKLED WORM EEL,M.,punctatus,M. punctatus
247,6187014501,D255,COELOCERUS SPINOSUS,CHANNELNOSE SPIDER CRAB,C.,spinosus,C. spinosus
248,6189021201,D151,MICROPANOPE NUTTINGI,BEADED MUD CRAB,M.,nuttingi,M. nuttingi
249,6187011903,D192,PODOCHELA RIISEI,LONGFINGER NECK CRAB,P.,riisei,P. riisei
250,6187012501,D206,MITHRAX HISPIDUS,CORAL CLINGING CRAB,M.,hispidus,M. hispidus
251,6187011301,D200,PELIA MUTICA,CRYPTIC TEARDROP CRAB,P.,mutica,P. mutica
252,6185020101,D102,HYPOCONCHA ARCUATA,GRANULATE SHELLBACK CRAB,H.,arcuata,H. arcuata
253,8784010102,A112,GOBIESOX STRUMOSUS,SKILLETFISH,G.,strumosus,G. strumosus
254,6183160201,D080,CLIBANARIUS VITTATUS,THINSTRIPE HERMIT,C.,vittatus,C. vittatus
255,8710010201,A035,SQUALUS ACANTHIAS,SPINY DOGFISH,S.,acanthias,S. acanthias
256,8835380101,A253,LOBOTES SURINAMENSIS,TRIPLETAIL,L.,surinamensis,L. surinamensis
257,8835440102,A276,CYNOSCION NEBULOSUS,SPOTTED SEATROUT,C.,nebulosus,C. nebulosus
258,8835280308,A219,CARANX RUBER,BAR JACK,C.,ruber,C. ruber
259,6189050402,D389,SPEOCARCINUS CAROLINENSIS,CAROLINIAN SQUAREBACK CR,S.,carolinensis,S. carolinensis
260,9002040201,B805,CHELONIA MYDAS,GREEN SEA TURTLE,C.,mydas,C. mydas
261,8707100101,A003,GINGLYMOSTOMA CIRRATUM,NURSE SHARK,G.,cirratum,G. cirratum
262,6186020104,D414,CALAPPA GALLUS,LUMPY BOX CRAB,C.,gallus,C. gallus
263,9002050101,B806,DERMOCHELYS CORIACEA,PACIFIC LEATHERBACK TURT,D.,coriacea,D. coriacea
264,8836010101,A320,MUGIL CEPHALUS,STRIPED MULLET,M.,cephalus,M. cephalus
