SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,SpeciesCommonNameNew,Habitat,OtherCategory,GENUS,SPECIES,Species 2,Species,Identifier
LOBOTES SURINAMENSIS,TRIPLETAIL,Tripletail,Demersal,,L, SURINAMENSIS,L. surinamensis,L. surinamensis,A
LOLIGINIDAE SPP,,Squid,Pelagic,,L, SPP,L. spp,Loligo spp.,A
LOLIGO SPP,,Squid,Pelagic,,L, SPP,L. spp,Loligo spp.,A
LOLIGO PEALEII,LONGFIN SQUID,Longfin Squid,Pelagic,,L, PEALEII,L. pealeii,L. pealeii,A
LOLLIGUNCULA BREVIS,ATLANTIC BRIEF SQUID,Atlantic Brief Squid,Pelagic,,L, BREVIS,L. brevis,L. brevis,A
LOPHIUS AMERICANUS,GOOSEFISH,Goosefish,Demersal,,L, AMERICANUS,L. americanus,L. americanus,A
LUTJANUS CAMPECHANUS,RED SNAPPER,Red Snapper,Demersal,,L, CAMPECHANUS,L. campechanus,L. campechanus,A
LUTJANUS GRISEUS,GRAY SNAPPER,Gray Snapper,Demersal,,L, GRISEUS,L. griseus,L. griseus,A
LUTJANUS SYNAGRIS,LANE SNAPPER,Lane Snapper,Demersal,,L, SYNAGRIS,L. synagris,L. synagris,A
MAJIDAE SPP,SPIDER CRABS,Spider Crabs,Demersal,Crustacean,M, SPP,M. spp,Majidae spp.,A
MALACLEMYS TERRAPIN CENTRATA,FLORIDA DIAMONDBACK TERR,Florida Diamondback Terr,Pelagic,,M, TERRAPIN CENTRATA,M. terrapin centrata,M. terrapin centrata,A
MEMBRAS MARTINICA,ROUGH SLIVERSIDE,Rough Sliverside,Pelagic,Forage Fishes,M, MARTINICA,M. martinica,M. martinica,A
MENIDIA SPP,ATLANTIC SILVERSIDES,Atlantic Silverside,Pelagic,Forage Fishes,M, SPP,M. spp,Menidia spp.,A
MENIDIA BERYLLINA,TIDEWATER SILVERSIDE,Tidewater Silverside,Pelagic,Forage Fishes,M, BERYLLINA,M. beryllina,M. beryllina,A
