"","lat_lon","gridID","dist_inlets","Wbd","Wbd_type"
"126","34.06806_-77.94111",68,6540.10087513887,"Cape Fear River","River"
"127","34.06306_-77.9325",68,5898.10007091827,"Cape Fear River","River"
"128","34.10889_-77.9475",98,7797.12375479273,"Cape Fear River","River"
"129","34.09917_-77.92639",99,5578.5477673085,"Cape Fear River","River"
"130","34.06278_-77.94056",68,6620.20281251181,"Cape Fear River","River"
"131","34.00222_-77.93806",68,10477.5320078565,"Cape Fear River","River"
"132","33.98_-77.95444",38,13366.1146422692,"Cape Fear River","River"
"133","34.11167_-77.92917",99,6489.95994124178,"Cape Fear River","River"
"134","34.06556_-77.92889",69,5501.77599651887,"Cape Fear River","River"
"135","34.09111_-77.92583",99,5222.51462343125,"Cape Fear River","River"
"136","33.97528_-77.94083",38,13143.7363729189,"Cape Fear River","River"
"137","34.06722_-77.94139",68,6582.59566515851,"Cape Fear River","River"
"138","34.10083_-77.93278",98,6191.09771218223,"Cape Fear River","River"
"139","34.09806_-77.94028",98,6723.1260796246,"Cape Fear River","River"
"140","34.04417_-77.93639",68,7111.23597064791,"Cape Fear River","River"
"141","34.06194_-77.92222",69,5043.52668183586,"Cape Fear River","River"
"142","34.10333_-77.92556",99,5717.83723455292,"Cape Fear River","River"
"143","34.03611_-77.94306",68,8121.83953181022,"Cape Fear River","River"
"144","34.10806_-77.93194",98,6488.73221445453,"Cape Fear River","River"
"145","34.04556_-77.945",68,7717.93921701602,"Cape Fear River","River"
"146","34.07361_-77.92444",69,4931.15052022304,"Cape Fear River","River"
"147","34.11333_-77.94167",98,7558.13275296839,"Cape Fear River","River"
"148","33.99722_-77.93917",68,10990.25237625,"Cape Fear River","River"
"149","33.97167_-77.92417",39,12837.0232602405,"Cape Fear River","River"
"150","34.03306_-77.94389",68,8384.0435774641,"Cape Fear River","River"
"151","34.04389_-77.93333",68,6892.24818019598,"Cape Fear River","River"
"152","34.0025_-77.91972",69,9554.71400561655,"Cape Fear River","River"
"153","33.99361_-77.93333",38,11034.0669897619,"Cape Fear River","River"
"154","33.96694_-77.93611",38,13411.3620121868,"Cape Fear River","River"
"155","34.05083_-77.94361",68,7341.45340554523,"Cape Fear River","River"
"156","34.07778_-77.94139",68,6463.10202326521,"Cape Fear River","River"
"157","34.13167_-77.95472",98,9701.79907337479,"Cape Fear River","River"
"158","34.08111_-77.94111",68,6443.55225250243,"Cape Fear River","River"
"159","34.06389_-77.92278",69,5017.4508659159,"Cape Fear River","River"
"160","34.06861_-77.94167",68,6580.40979007255,"Cape Fear River","River"
"161","34.00333_-77.93083",68,9996.9623454256,"Cape Fear River","River"
"162","34.125_-77.95222",98,9078.2710842005,"Cape Fear River","River"
"163","34.10167_-77.94722",98,7459.72219913603,"Cape Fear River","River"
"164","34.08972_-77.92556",69,5158.90522555209,"Cape Fear River","River"
"165","34.05417_-77.94222",68,7075.36417435527,"Cape Fear River","River"
"166","34.12417_-77.92583",99,7150.43806792606,"Cape Fear River","River"
"167","34.06278_-77.94111",68,6669.08956039222,"Cape Fear River","River"
"168","34.04722_-77.92222",69,5842.06415477002,"Cape Fear River","River"
"169","33.99722_-77.9325",68,10652.095620828,"Cape Fear River","River"
"170","34.04139_-77.92222",69,6249.30501857727,"Cape Fear River","River"
"171","34.09444_-77.92667",99,5407.15781783428,"Cape Fear River","River"
"172","33.98944_-77.93944",38,11725.0818703957,"Cape Fear River","River"
"173","34.0225_-77.91889",69,7615.33543777567,"Cape Fear River","River"
"174","34.08472_-77.94333",68,6677.5747795445,"Cape Fear River","River"
"175","34.12056_-77.95139",98,8741.6547733299,"Cape Fear River","River"
"176","33.99806_-77.93167",68,10532.3502204499,"Cape Fear River","River"
"177","34.00417_-77.93639",68,10211.6265957671,"Cape Fear River","River"
"178","34.02639_-77.93389",68,8175.89687997142,"Cape Fear River","River"
"179","34.11389_-77.9425",98,7655.6781672268,"Cape Fear River","River"
"180","34.11361_-77.9325",98,6864.80663029795,"Cape Fear River","River"
"181","34.085_-77.92361",69,4879.59495179172,"Cape Fear River","River"
"182","34.10556_-77.92972",99,6173.08576407468,"Cape Fear River","River"
"183","34.06222_-77.94111",68,6685.64894478634,"Cape Fear River","River"
"184","34.13028_-77.95472",98,9608.35207419793,"Cape Fear River","River"
"185","33.99083_-77.93722",38,11485.2590644169,"Cape Fear River","River"
"186","34.04667_-77.93333",68,6724.71081176671,"Cape Fear River","River"
"187","34.00333_-77.9375",68,10347.3716430522,"Cape Fear River","River"
"188","34.09111_-77.94528",98,6964.17493973737,"Cape Fear River","River"
"189","34.07667_-77.92556",69,5008.6728432917,"Cape Fear River","River"
"190","34.05944_-77.92056",69,5012.24184523878,"Cape Fear River","River"
"191","33.99389_-77.93444",38,11060.979883676,"Cape Fear River","River"
"192","34.00417_-77.93667",68,10226.8186867204,"Cape Fear River","River"
"193","33.9925_-77.92528",39,10777.5023827563,"Cape Fear River","River"
"194","34.11611_-77.92778",99,6682.79442926346,"Cape Fear River","River"
"195","34.13194_-77.92889",99,7973.09300913936,"Cape Fear River","River"
"196","34.12778_-77.95306",98,9320.3252105974,"Cape Fear River","River"
"197","34.04444_-77.92333",69,6110.98343524435,"Cape Fear River","River"
"198","34.02917_-77.94361",68,8631.50384012691,"Cape Fear River","River"
"199","33.99306_-77.93444",38,11139.5555553777,"Cape Fear River","River"
"200","34.05806_-77.91972",69,5009.77757470525,"Cape Fear River","River"
"201","34.07278_-77.92528",69,5018.8419285649,"Cape Fear River","River"
"202","34.11306_-77.94194",98,7564.17214161933,"Cape Fear River","River"
"203","34.12306_-77.93167",98,7455.60797274064,"Cape Fear River","River"
"204","34.11167_-77.92722",99,6343.14709920969,"Cape Fear River","River"
"205","34.00361_-77.92",69,9458.01517224454,"Cape Fear River","River"
"206","33.97194_-77.93056",38,13044.9638253458,"Cape Fear River","River"
"207","34.12694_-77.92583",99,7372.55587960757,"Cape Fear River","River"
"208","34.12583_-77.92583",99,7282.79769647307,"Cape Fear River","River"
"209","34.04944_-77.93194",68,6456.77574801349,"Cape Fear River","River"
"210","34.08028_-77.94167",68,6491.55646258614,"Cape Fear River","River"
"211","34.07694_-77.925",69,4956.02154269032,"Cape Fear River","River"
"212","34.12472_-77.95139",98,8997.76460837621,"Cape Fear River","River"
"213","34.04528_-77.93333",68,6807.24034278386,"Cape Fear River","River"
"214","34.0675_-77.92528",69,5125.94326773661,"Cape Fear River","River"
"215","34.05222_-77.94278",68,7208.11731277767,"Cape Fear River","River"
"216","34.04667_-77.92194",69,5858.04258932479,"Cape Fear River","River"
"217","34.02361_-77.92889",69,8087.87220052938,"Cape Fear River","River"
"218","33.9975_-77.92194",69,10142.1749996859,"Cape Fear River","River"
"219","34.00778_-77.91889",69,9002.32276181623,"Cape Fear River","River"
"220","34.04111_-77.92139",69,6212.79886654726,"Cape Fear River","River"
"221","34.08528_-77.925",69,5010.82731224654,"Cape Fear River","River"
"222","34.09167_-77.925",99,5166.30463159771,"Cape Fear River","River"
"223","34.1125_-77.94167",98,7511.2175469866,"Cape Fear River","River"
"224","33.99778_-77.93167",68,10558.7922579132,"Cape Fear River","River"
"225","34.01528_-77.91889",69,8284.25216267478,"Cape Fear River","River"
"226","34.07611_-77.94139",68,6467.9710934284,"Cape Fear River","River"
"227","33.99111_-77.93583",38,11391.3913972222,"Cape Fear River","River"
"228","34.09778_-77.94028",98,6713.10247869079,"Cape Fear River","River"
"229","34.05556_-77.94139",68,6946.59959018751,"Cape Fear River","River"
"230","34.09278_-77.94167",98,6680.70264033624,"Cape Fear River","River"
"231","34.10389_-77.94806",98,7620.40261407644,"Cape Fear River","River"
"232","34.08167_-77.94",68,6344.62145496238,"Cape Fear River","River"
"233","33.99444_-77.9225",69,10468.5585304815,"Cape Fear River","River"
"234","33.96611_-77.93694",38,13291.5086981105,"Cape Fear River","River"
"235","34.12694_-77.92639",99,7407.81686411108,"Cape Fear River","River"
"236","34.06889_-77.97472",68,9591.95069042833,"Cape Fear River","River"
"237","34.04611_-77.93361",68,6779.50771715262,"Cape Fear River","River"
"238","34.06444_-77.94139",68,6648.26942669993,"Cape Fear River","River"
"239","34.13111_-77.955",98,9684.48391058121,"Cape Fear River","River"
"240","34.04694_-77.93389",68,6753.02073313055,"Cape Fear River","River"
"241","34.09806_-77.92944",99,5787.90799576903,"Cape Fear River","River"
"242","34.12667_-77.92611",99,7368.29193379531,"Cape Fear River","River"
"243","34.12528_-77.94306",98,8418.38700090593,"Cape Fear River","River"
"244","34.03222_-77.91972",69,6810.91018177067,"Cape Fear River","River"
"245","34.05056_-77.94389",68,7377.46778250527,"Cape Fear River","River"
"246","34.04556_-77.92222",69,5953.66982109943,"Cape Fear River","River"
"247","34.10333_-77.94806",98,7597.52890076977,"Cape Fear River","River"
"248","34.12778_-77.94389",98,8652.00359934973,"Cape Fear River","River"
"249","34.03639_-77.91889",69,6415.4474158172,"Cape Fear River","River"
"250","34_-77.93778",68,10663.4100643865,"Cape Fear River","River"
"251","34.06806_-77.94083",68,6514.71852705976,"Cape Fear River","River"
"252","34.02_-77.92917",69,8411.08660115974,"Cape Fear River","River"
"253","33.99528_-77.93361",68,10889.2993391291,"Cape Fear River","River"
"254","34.01167_-77.91806",69,8588.6014130761,"Cape Fear River","River"
"255","34.125_-77.945",98,8540.55468073157,"Cape Fear River","River"
"256","33.97972_-77.9225",39,11952.1439487361,"Cape Fear River","River"
"257","34.06083_-77.92056",69,4949.01008837981,"Cape Fear River","River"
"258","34.04111_-77.92222",69,6269.88501191067,"Cape Fear River","River"
"259","34.09667_-77.92972",99,5755.63503381765,"Cape Fear River","River"
"260","34.03944_-77.91972",69,6227.15244533995,"Cape Fear River","River"
