"","lat_lon","gridID"
"7311","34.58167_-77.39472",283
"7313","34.57111_-77.37167",283
"7316","34.60889_-77.41611",283
"7318","34.59417_-77.43056",283
"7321","34.58389_-77.42472",283
"7323","34.57528_-77.41306",283
"7326","34.55667_-77.36667",283
"7332","34.5825_-77.41139",283
"7337","34.56306_-77.34972",283
"7341","34.58472_-77.375",283
"7345","34.56556_-77.3775",283
"7347","34.59694_-77.40333",283
"7352","34.56917_-77.36583",283
"7353","34.59083_-77.43361",283
"7356","34.57917_-77.42167",283
"7358","34.58389_-77.42639",283
"7363","34.56472_-77.35278",283
"7365","34.57861_-77.41917",283
"7366","34.60167_-77.43306",283
"7369","34.60611_-77.38028",283
"7370","34.60917_-77.42639",283
"7374","34.58972_-77.43333",283
"7377","34.58306_-77.37639",283
"7379","34.57889_-77.42111",283
"7383","34.58444_-77.38889",283
"7384","34.59972_-77.43361",283
"7386","34.58278_-77.37667",283
"7390","34.58667_-77.37083",283
"7392","34.60389_-77.38667",283
"7395","34.58417_-77.39167",283
"7396","34.5875_-77.36917",283
"7399","34.58194_-77.37639",283
"7401","34.56444_-77.37444",283
"7402","34.56444_-77.35056",283
"7404","34.56389_-77.34722",283
"7406","34.565_-77.37306",283
"7409","34.56472_-77.36556",283
"7411","34.60528_-77.40889",283
"7417","34.60028_-77.43417",283
"7419","34.60833_-77.37167",283
"7421","34.60528_-77.41861",283
"7422","34.59167_-77.40806",283
"7425","34.60417_-77.3625",283
"7432","34.60833_-77.41639",283
"7434","34.57444_-77.40944",283
"7439","34.55111_-77.33361",283
"7440","34.60806_-77.40306",283
"7445","34.60056_-77.42972",283
"7447","34.56361_-77.35889",283
"7450","34.565_-77.355",283
"7452","34.56583_-77.36833",283
"7457","34.57972_-77.42222",283
"7460","34.58917_-77.42861",283
"7462","34.605_-77.37667",283
"7464","34.60417_-77.43111",283
"7468","34.60444_-77.38639",283
"7469","34.5525_-77.33889",283
"13826","34.593_-77.398",283
"6458","34.67694_-77.37639",313
"6459","34.62194_-77.3775",313
"6460","34.67028_-77.36111",313
"6462","34.68778_-77.41611",313
"6465","34.63583_-77.34167",313
"6467","34.63111_-77.37417",313
"6469","34.6125_-77.39222",313
"6471","34.62444_-77.35361",313
"6474","34.68806_-77.43361",313
"6476","34.67333_-77.39944",313
"6479","34.61694_-77.41083",313
"6480","34.63417_-77.37472",313
"6483","34.67444_-77.39972",313
"6485","34.61389_-77.40833",313
"6487","34.62861_-77.34806",313
"6489","34.61389_-77.39167",313
"6491","34.64222_-77.37139",313
"6499","34.61778_-77.41139",313
"6507","34.62083_-77.35806",313
