"","lat_lon","gridID"
"312","34.08944_-77.92528",69
"313","34.065_-77.92306",69
"342","34.03611_-77.92667",69
"344","34.03278_-77.91944",69
"348","34.02361_-77.91889",69
"356","34.04194_-77.92194",69
"357","34.02_-77.91917",69
"359","34.00917_-77.91667",69
"377","34.07278_-77.92472",69
"378","34.02278_-77.91778",69
"384","34.08694_-77.92278",69
"385","34.07528_-77.92472",69
"386","34.06389_-77.92389",69
"390","34.06472_-77.92278",69
"394","34.06611_-77.92389",69
"402","34.07528_-77.92444",69
"414","34.06306_-77.92278",69
"419","34.04583_-77.92389",69
"427","34.005_-77.92333",69
"433","34.03278_-77.91917",69
"434","34.06333_-77.92944",69
"439","34.07444_-77.92417",69
"443","34.06083_-77.92083",69
"447","34.03806_-77.91944",69
"449","33.99528_-77.92278",69
"457","34.06556_-77.92889",69
"466","34.06194_-77.92222",69
"472","34.07361_-77.92444",69
"8","34.13889_-77.95694",98
"10","34.13167_-77.95472",98
"12","34.14194_-77.9575",98
"17","34.165_-77.95694",98
"20","34.125_-77.95222",98
"23","34.15139_-77.94417",98
"24","34.10167_-77.94722",98
"39","34.13722_-77.93583",98
"41","34.12056_-77.95139",98
"42","34.13889_-77.95639",98
"47","34.11361_-77.9325",98
"48","34.11389_-77.9425",98
"52","34.13028_-77.95472",98
"60","34.09111_-77.94528",98
"61","34.14639_-77.95972",98
"67","34.15528_-77.94417",98
"68","34.155_-77.96528",98
"73","34.12778_-77.95306",98
"79","34.13861_-77.95722",98
"81","34.1575_-77.94389",98
"82","34.11306_-77.94194",98
"83","34.12306_-77.93167",98
"91","34.12472_-77.95139",98
"105","34.1125_-77.94167",98
"109","34.13944_-77.9575",98
"110","34.16278_-77.95333",98
"112","34.13528_-77.95556",98
"114","34.09778_-77.94028",98
"116","34.10389_-77.94806",98
"117","34.09278_-77.94167",98
"118","34.13611_-77.93472",98
"122","34.15278_-77.94389",98
"123","34.16361_-77.9525",98
"126","34.16222_-77.96806",98
"127","34.14722_-77.96111",98
"130","34.14778_-77.96111",98
"131","34.13111_-77.955",98
"138","34.12528_-77.94306",98
"139","34.14528_-77.94417",98
"140","34.14472_-77.945",98
"141","34.15361_-77.94444",98
"144","34.10333_-77.94806",98
"146","34.12778_-77.94389",98
"153","34.125_-77.945",98
"154","34.14194_-77.95778",98
"158","34.1575_-77.95083",98
"168","34.15056_-77.94639",98
"169","34.13306_-77.95472",98
"170","34.10861_-77.94778",98
"174","34.15139_-77.94444",98
"175","34.135_-77.9325",98
"184","34.15611_-77.96583",98
"185","34.16056_-77.9525",98
"190","34.11861_-77.95111",98
"191","34.15639_-77.96472",98
"196","34.11389_-77.94278",98
"197","34.1375_-77.93639",98
"198","34.11472_-77.94861",98
"199","34.14833_-77.94333",98
"200","34.16583_-77.96528",98
"202","34.12611_-77.95306",98
"204","34.14444_-77.94361",98
"205","34.12778_-77.945",98
"207","34.16333_-77.95333",98
"208","34.13889_-77.94111",98
"215","34.1225_-77.95111",98
"217","34.15806_-77.95028",98
"221","34.12528_-77.95222",98
"222","34.15611_-77.96444",98
"225","34.16306_-77.94778",98
"228","34.12444_-77.94806",98
"230","34.16139_-77.94583",98
"231","34.14472_-77.94194",98
"233","34.14472_-77.94417",98
"235","34.15889_-77.95222",98
"237","34.16611_-77.96667",98
"241","34.13194_-77.95528",98
"245","34.145_-77.94444",98
"246","34.11583_-77.94444",98
"252","34.1275_-77.94389",98
"256","34.16389_-77.96861",98
"268","34.10222_-77.94694",98
"271","34.1575_-77.95056",98
"274","34.13833_-77.95694",98
"276","34.15056_-77.94361",98
"279","34.15333_-77.94472",98
"281","34.15167_-77.94417",98
"283","34.12556_-77.94389",98
"286","34.16028_-77.95139",98
